Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Bean,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,9,15,10,no,40-70,kg/ha,90-120,Days,15,11,15,1,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Bean,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,2,15,3,no,40-70,kg/ha,90-120,Days,15,5,15,6,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Cassava,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,9,15,11,no,10000,cuttings/ha,18-24,Months,15,6,15,8,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Cassava,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,3,15,4,no,10000,cuttings/ha,18-24,Months,15,12,15,1,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
"Pea, dry",Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",1,9,15,10,no,100-120,kg/ha,90-150,Days,15,12,15,2,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
"Pea, dry",Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",1,2,15,3,no,100-120,kg/ha,90-150,Days,15,5,31,7,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Corn,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,9,15,10,no,30-50,kg/ha,110-130,Days,15,1,15,2,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Corn,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,3,15,4,no,30-50,kg/ha,110-130,Days,15,7,15,8,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Sorghum,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,9,15,10,no,8-10,kg/ha,90-180,Days,15,12,15,2,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Sorghum,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,3,15,4,no,8-10,kg/ha,90-180,Days,15,6,15,8,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
Beet,Impara & Kivu lake borders,"Agricultural practices : The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.",15,3,15,4,no,70-90,kg/ha,90-150 ,Days,15,7,15,8,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",,,,,,
